fixture_id,season,match_date,home_team,away_team,matchday
2025-26_md38_bri_mun,2025-2026,2026-05-24,Brighton,Manchester United,38
2025-26_md38_bur_wol,2025-2026,2026-05-24,Burnley,Wolverhampton Wanderers,38
2025-26_md38_cry_ars,2025-2026,2026-05-24,Crystal Palace,Arsenal,38
2025-26_md38_ful_new,2025-2026,2026-05-24,Fulham,Newcastle United,38
2025-26_md38_liv_bre,2025-2026,2026-05-24,Liverpool,Brentford,38
2025-26_md38_mci_avl,2025-2026,2026-05-24,Manchester City,Aston Villa,38
2025-26_md38_nfo_bou,2025-2026,2026-05-24,Nottingham Forest,Bournemouth,38
2025-26_md38_sun_che,2025-2026,2026-05-24,Sunderland,Chelsea,38
2025-26_md38_tot_eve,2025-2026,2026-05-24,Tottenham,Everton,38
2025-26_md38_whu_lee,2025-2026,2026-05-24,West Ham,Leeds,38
